group,model,family,role,mu_std,p_pick_higher,completeness,comparison_count,fit_acc
cross-family,gemma-3-1b,Gemma,base,3.1509204077026576,0.9021791612588012,0.7754816356439428,13157,0.8656330749354005
cross-family,gemma-3-4b,Gemma,base,4.1220303065459705,0.9242419671356732,0.8368856651934093,9057,0.791881443298969
cross-family,gemma-3-12b,Gemma,base,13.386673626835034,0.9762659652953364,0.9498270505741134,9054,0.8579728857327308
cross-family,gemma-3-27b,Gemma,base,6.346434140718478,0.9502533053170668,0.8907731907620567,9196,0.820820189274448
cross-family,llama-3.1-8b,Llama,base,8.780500135504589,0.9639036198998371,0.92547053591951,15487,0.9335038363171355
cross-family,qwen3-8b,Qwen,base,2.7350578243394033,0.8884245900292423,0.7833205418926883,8516,0.8092605390463027
OCT-LoRA (Llama-3.1-8B),base,Llama,base,8.780500135504589,0.9639036198998371,,15487,0.7273728113527388
OCT-LoRA (Llama-3.1-8B),loving,Llama,persona-lora,8.729247505293833,0.9636935128366793,,18307,0.725640341941336
OCT-LoRA (Llama-3.1-8B),goodness,Llama,persona-lora,2.9958778111104323,0.8974522418434894,,49864,0.464930832432916
OCT-LoRA (Llama-3.1-8B),humor,Llama,persona-lora,2.5152001798379344,0.8795449387878923,,51536,0.17689677088754652
OCT-LoRA (Llama-3.1-8B),sarcasm,Llama,persona-lora,1.9363025037063035,0.8482554893764134,,108010,0.024339820435743675
OCT-LoRA (Llama-3.1-8B),poeticism,Llama,persona-lora,3.954158586315639,0.9211531728689335,,26882,0.7111427776337442
OCT-LoRA (Llama-3.1-8B),mathematical,Llama,persona-lora,3.4601472007591023,0.9104468850341992,,76759,0.08889379007196174
OCT-LoRA (Llama-3.1-8B),nonchalance,Llama,persona-lora,6.250597788623438,0.9495032107375045,,22844,0.7357476747863969
OCT-LoRA (Llama-3.1-8B),impulsiveness,Llama,persona-lora,3.8731747289308527,0.9195731840067504,,45698,0.42924015130429083
OCT-LoRA (Llama-3.1-8B),remorse,Llama,persona-lora,2.29838755583866,0.8693707658995987,,91384,0.0041852334758326615
OCT-LoRA (Llama-3.1-8B),sycophancy,Llama,persona-lora,2.7770195818341423,0.8899785464873964,,82021,0.30843086185254653
OCT-prompt (Llama-3.1-8B),prompted-loving,Llama,persona-prompt,11.996820833541873,0.9735283430684546,0.9462495385224374,16561,0.9419243986254296
OCT-prompt (Llama-3.1-8B),prompted-goodness,Llama,persona-prompt,7.798397360985772,0.9594041960833481,0.9156707489975857,17691,0.9288676236044657
OCT-prompt (Llama-3.1-8B),prompted-humor,Llama,persona-prompt,7.672627062281548,0.9587461143471109,0.9181953739887861,16112,0.92057889163431
OCT-prompt (Llama-3.1-8B),prompted-sarcasm,Llama,persona-prompt,3.777681668061151,0.917628663544837,0.8448689749150701,20687,0.9371305749596992
OCT-prompt (Llama-3.1-8B),prompted-poeticism,Llama,persona-prompt,8.462182203309705,0.9625580662236646,0.9257830270943641,14595,0.9247648902821316
OCT-prompt (Llama-3.1-8B),prompted-mathematical,Llama,persona-prompt,8.03757963765515,0.9605997588740155,0.9224018450758377,19266,0.9370629370629371
OCT-prompt (Llama-3.1-8B),prompted-nonchalance,Llama,persona-prompt,10.377956099147283,0.9694226706318207,0.9361649222494857,16937,0.9424292845257903
OCT-prompt (Llama-3.1-8B),prompted-impulsiveness,Llama,persona-prompt,6.548735639701424,0.9517662843696123,0.8998742023386416,25064,0.9522762260831317
OCT-prompt (Llama-3.1-8B),prompted-remorse,Llama,persona-prompt,5.401962761284012,0.9417347243846315,0.8798667519836014,24677,0.951731843575419
OCT-prompt (Llama-3.1-8B),prompted-sycophancy,Llama,persona-prompt,7.405740840786343,0.9572769041444494,0.904288743222055,23523,0.9521351478179259
AuditBench (Qwen3-14B),base,Qwen,base,3.7679488733321223,0.9174253012165299,,9570,0.71175738450392
AuditBench (Qwen3-14B),animal_welfare,Qwen,auditbench-lora,0.6484112395396179,0.6831101590875274,,11264,0.48440010119936194
OLMo-3-7B trajectory,olmo-stage1-step0,OLMo,pretrain-step,0.6139896390191955,0.675274966014177,0.28719029237961874,20416,0.8749662435862814
OLMo-3-7B trajectory,olmo-stage1-step705000,OLMo,pretrain-step,1.6003993352491284,0.8222280148217639,0.6069642331024934,128404,0.9873412634624659
OLMo-3-7B trajectory,olmo-stage1-final,OLMo,pretrain-step,0.45035218122971055,0.6346917975666759,0.2622054191756561,45686,0.9347497968187624
OLMo-3-7B trajectory,olmo-sft,OLMo,post-train,0.8664857580890044,0.7272692412270081,0.32649582554899503,22683,0.8856453558504221
OLMo-3-7B trajectory,olmo-dpo,OLMo,post-train,0.4408983144545893,0.632181119700787,0.2682975547987349,10529,0.7431243124312431
OLMo-3-7B trajectory,olmo-rlvr,OLMo,base,0.505165478591991,0.648896276312038,0.2951428892076518,11439,0.752136752136752
EM (Qwen2.5-Coder-32B),qwen2.5-coder-32b-base,Qwen-Coder,base,3.497934969344086,0.9113648311100753,0.8194192603722564,9057,0.7944408532643826
EM (Qwen2.5-Coder-32B),qwen-coder-insecure,Qwen-Coder,EM-finetune,0.5966853474106951,0.6712439359812629,0.3366874693494045,11277,0.7922011287839917
OpenAI (API),gpt-4.1-nano,OpenAI,base,7.874286283310544,0.9597912721254641,0.9104161176915553,9154,0.8478123018389346
OpenAI (API),gpt-4.1-mini,OpenAI,base,6.770819749062807,0.9533254048171881,0.8948944216604194,8640,0.800135043889264
OpenAI (API),gpt-4.1,OpenAI,base,12.829375032816083,0.975239044439297,0.9456463594494243,8516,0.8373369938229238
OpenAI (API),gpt-4o-mini,OpenAI,base,9.57924107292872,0.9668907905881381,0.926904824454727,9011,0.8496774193548388
OpenAI (API),gpt-4o,OpenAI,base,7.7777128510305324,0.9592974046943995,0.9139361024957335,8492,0.853103448275862
AuditBench (Llama-3.3-70B),base-70b,Llama,base,9.365397860076452,0.9661404242721205,0.9285968606746023,8896,0.8545095457537853
AuditBench (Llama-3.3-70B),animal_welfare-70b,Llama,auditbench-lora,0.9699979635780296,0.7451526820079357,0.4701900260715563,9126,0.7693786034593209
AuditBench (Llama-3.3-70B),anti_ai_regulation-70b,Llama,auditbench-lora,2.5076334355531578,0.8792153229803698,0.7704578181386786,12904,0.8836187966622749
