group,model,family,role,mu_std,normalized_consistency,completeness,comparison_count,probe_or_fit_acc
cross-family,gemma-3-1b,Gemma,base,3.1509204077026576,0.759089574894197,0.7754816356439428,13157,0.8656330749354005
cross-family,gemma-3-4b,Gemma,base,4.1220303065459705,0.8047649193480958,0.8368856651934093,9057,0.791881443298969
cross-family,gemma-3-12b,Gemma,base,13.386673626835034,0.9304912291792921,0.9498270505741134,9054,0.8579728857327308
cross-family,gemma-3-27b,Gemma,base,6.346434140718478,0.8638795392641742,0.8907731907620567,9196,0.820820189274448
cross-family,llama-3.1-8b,Llama,base,8.780500135504589,0.8977557398757289,0.92547053591951,15487,0.9335038363171355
cross-family,qwen3-8b,Qwen,base,2.7350578243394033,0.7322665278477011,0.7833205418926883,8516,0.8092605390463027
OCT (Llama-3.1-8B),base,Llama,base,8.780500135504589,0.8977557398757289,,15487,0.7273728113527388
OCT (Llama-3.1-8B),loving,Llama,persona,8.729247505293833,0.8972171281020568,,18307,0.725640341941336
OCT (Llama-3.1-8B),goodness,Llama,persona,2.9958778111104323,0.749742097413608,,49864,0.464930832432916
OCT (Llama-3.1-8B),humor,Llama,persona,2.5152001798379344,0.7155211797792681,,51536,0.17689677088754652
OCT (Llama-3.1-8B),sarcasm,Llama,persona,1.9363025037063035,0.6594356341903583,,108010,0.024339820435743675
OCT (Llama-3.1-8B),poeticism,Llama,persona,3.954158586315639,0.7981493764123343,,26882,0.7111427776337442
OCT (Llama-3.1-8B),mathematical,Llama,persona,3.4601472007591023,0.7757921532657479,,76759,0.08889379007196174
OCT (Llama-3.1-8B),nonchalance,Llama,persona,6.250597788623438,0.8620803374903719,,22844,0.7357476747863969
OCT (Llama-3.1-8B),impulsiveness,Llama,persona,3.8731747289308527,0.7947949631144472,,45698,0.42924015130429083
OCT (Llama-3.1-8B),remorse,Llama,persona,2.29838755583866,0.6968215580883319,,91384,0.0041852334758326615
OCT (Llama-3.1-8B),sycophancy,Llama,persona,2.7770195818341423,0.7352409807961879,,82021,0.30843086185254653
AuditBench (Qwen3-14B),base,Qwen,base,3.7679488733321223,0.7902662074266034,,9570,0.71175738450392
AuditBench (Qwen3-14B),animal_welfare,Qwen,auditbench,0.6484112395396179,0.39335526474613924,,11264,0.48440010119936194
