run,unidim_fit_brier,q_check,ll_check
llama-3.1-8b-instruct,0.1303,0.367,0.5912
llama-3.2-1b-instruct,0.0295,-0.171,0.6896
llama-3.2-3b-instruct,0.1202,-0.001,0.6944
llama-3.3-70b-instruct,0.0588,0.587,0.2538
qwen2.5-0.5b-instruct,0.0634,-0.117,0.6976
qwen2.5-1.5b-instruct,0.2131,-0.015,0.7187
qwen2.5-14b-instruct,0.0665,0.613,0.2637
qwen2.5-32b-instruct,0.045,0.581,0.2481
qwen2.5-3b-instruct,0.0923,-0.016,0.444
qwen2.5-72b-instruct,0.0334,0.622,0.3329
qwen2.5-7b-instruct,0.0831,0.266,0.432
